Date,Price,Open,High,Low,Vol.,Change %
2016/6/21,3.8822,3.925,3.97,3.855,,-0.46%
2016/6/20,3.9,3.925,3.961,3.8417,,2.81%
2016/6/17,3.7934,3.925,3.97,3.8405,,-2.39%
2016/6/16,3.8861,3.925,3.9525,3.8261,,0.62%
2016/6/15,3.8622,3.87,3.9775,3.8088,,1.61%
2016/6/14,3.801,3.925,3.99,3.8131,,0.00%
2016/6/13,3.801,3.925,3.971,3.8311,,-1.53%
2016/6/10,3.86,3.925,3.968,3.83,,0.62%
2016/6/9,3.8362,3.925,3.96,3.8349,,-0.52%
2016/6/8,3.8561,3.8683,3.95,3.855,,0.16%
2016/6/7,3.85,3.91,3.9538,3.815,,0.89%
2016/6/6,3.8162,3.884,3.9225,3.79,,0.20%
2016/6/3,3.8086,3.884,3.9203,3.8293,,-0.20%
2016/6/2,3.8162,3.884,3.9333,3.8075,,0.00%
2016/6/1,3.8162,3.884,3.9075,3.8,,0.20%
2016/5/31,3.8086,3.884,3.91,3.7875,,-1.71%
2016/5/30,3.875,3.884,3.8903,3.8,,1.44%
2016/5/27,3.82,3.884,3.9025,3.8281,,-0.96%
2016/5/26,3.857,3.83,3.9385,3.8,,1.17%
2016/5/25,3.8124,3.83,3.8613,3.8237,,-0.10%
2016/5/24,3.8162,3.83,3.9,3.8175,,0.26%
2016/5/23,3.8062,3.83,3.8975,3.8125,,-1.42%
2016/5/20,3.8611,3.83,3.8775,3.81,,1.34%
2016/5/19,3.81,3.84,3.8625,3.7981,,-0.52%
2016/5/18,3.83,3.83,3.866,3.7962,,1.42%
2016/5/17,3.7762,3.83,3.8895,3.78,,-0.92%
2016/5/16,3.8112,3.83,3.8777,3.785,,0.03%
2016/5/13,3.81,3.8166,3.8675,3.8025,,0.26%
2016/5/12,3.8,3.83,3.8738,3.785,,0.20%
2016/5/11,3.7924,3.83,3.8588,3.765,,0.70%
2016/5/10,3.7662,3.83,3.9163,3.7831,,-1.28%
2016/5/9,3.815,3.83,3.8438,3.785,,-0.13%
2016/5/6,3.8199,3.83,3.8575,3.8,,1.63%
2016/5/5,3.7586,3.83,3.8575,3.775,,-0.10%
2016/5/4,3.7624,3.83,3.8525,3.78,,0.00%
2016/5/3,3.7624,3.83,3.855,3.7682,,-0.27%
2016/5/2,3.7724,3.83,3.8613,3.78,,-0.10%
2016/4/29,3.7762,3.83,3.8375,3.76,,0.00%
2016/4/28,3.7762,3.83,3.8525,3.785,,-0.53%
2016/4/27,3.7962,3.83,3.8625,3.7862,,0.00%
2016/4/26,3.7962,3.83,3.8704,3.78,,-0.36%
2016/4/25,3.81,3.83,3.8375,3.765,,0.56%
2016/4/22,3.7886,3.83,3.855,3.79,,-1.08%
2016/4/21,3.83,3.83,3.8588,3.8025,,0.36%
2016/4/20,3.8162,3.83,3.855,3.7904,,0.16%
2016/4/19,3.81,3.8158,3.8525,3.7875,,-0.16%
2016/4/18,3.8162,3.8158,3.8614,3.8131,,0.26%
2016/4/15,3.8062,3.85,3.865,3.8131,,0.36%
2016/4/14,3.7924,3.85,3.8625,3.8112,,-0.35%
2016/4/13,3.8058,3.85,3.8689,3.815,,-0.01%
